2025-03-13 11:51:42,1,0
2025-03-13 11:51:44,2,0
2025-03-13 11:51:54,3,0
2025-03-13 11:56:47,1,0
2025-03-13 11:56:59,2,0
13-03-25 11:57:51,1,0
13-03-25 11:57:53,2,0
13 11:59:02,1,0
12:00:56,1,0
12:02:46,1,0
12:03:02,2,0
12:03:04,3,0
13:12:33,1,0
13:12:54,2,0
13:12:56,3,0
13:12:59,4,0
13:13:00,5,0
13:14:34,1,6
13:14:44,2,7
13:47:16,1,6
13:47:21,2,6
16:16:59,1,7
16:18:27,1,30
16:18:29,2,30
16:18:32,3,30
16:18:34,4,30
16:18:36,5,30
16:18:38,6,30
16:18:41,7,30
16:18:43,8,30
16:18:45,9,30
16:18:48,10,30
16:18:50,11,30
16:18:53,12,30
16:20:29,1,9
16:22:07,1,24
16:30:49,1,30
16:30:51,2,30
16:32:10,1,6
16:32:17,2,12
16:32:47,3,6
16:32:55,4,12
16:44:43,1,6
16:44:45,2,6
16:46:14,3,6
16:46:16,4,6
16:52:19,1,6
16:52:20,2,7
16:52:28,3,7
